-0.6000000E+01 -0.6000000E+01  0.5152176-173
-0.5878788E+01 -0.6000000E+01  0.5440055-169
-0.5757576E+01 -0.6000000E+01  0.4540700-165
-0.5636364E+01 -0.6000000E+01  0.2996051-161
-0.5515152E+01 -0.6000000E+01  0.1562725-157
-0.5393939E+01 -0.6000000E+01  0.6443512-154
-0.5272727E+01 -0.6000000E+01  0.2100244-150
-0.5151515E+01 -0.6000000E+01  0.5411575-147
-0.5030303E+01 -0.6000000E+01  0.1102261-143
-0.4909091E+01 -0.6000000E+01  0.1774812-140
-0.4787879E+01 -0.6000000E+01  0.2259056-137
-0.4666667E+01 -0.6000000E+01  0.2273048-134
-0.4545455E+01 -0.6000000E+01  0.1807994-131
-0.4424242E+01 -0.6000000E+01  0.1136822-128
-0.4303030E+01 -0.6000000E+01  0.5650602-126
-0.4181818E+01 -0.6000000E+01  0.2220260-123
-0.4060606E+01 -0.6000000E+01  0.6896362-121
-0.3939394E+01 -0.6000000E+01  0.1693336-118
-0.3818182E+01 -0.6000000E+01  0.3286799-116
-0.3696970E+01 -0.6000000E+01  0.5043247-114
-0.3575758E+01 -0.6000000E+01  0.6117227-112
-0.3454545E+01 -0.6000000E+01  0.5865521-110
-0.3333333E+01 -0.6000000E+01  0.4445973-108
-0.3212121E+01 -0.6000000E+01  0.2664015-106
-0.3090909E+01 -0.6000000E+01  0.1261882-104
-0.2969697E+01 -0.6000000E+01  0.4725178-103
-0.2848485E+01 -0.6000000E+01  0.1398767-101
-0.2727273E+01 -0.6000000E+01  0.3273563-100
-0.2606061E+01 -0.6000000E+01  0.6057373E-99
-0.2484848E+01 -0.6000000E+01  0.8863711E-98
-0.2363636E+01 -0.6000000E+01  0.1026057E-96
-0.2242424E+01 -0.6000000E+01  0.9402885E-96
-0.2121212E+01 -0.6000000E+01  0.6831135E-95
-0.2000000E+01 -0.6000000E+01  0.3945098E-94
-0.1878788E+01 -0.6000000E+01  0.1820818E-93
-0.1757576E+01 -0.6000000E+01  0.6784558E-93
-0.1636364E+01 -0.6000000E+01  0.2079328E-92
-0.1515152E+01 -0.6000000E+01  0.5412708E-92
-0.1393939E+01 -0.6000000E+01  0.1256640E-91
-0.1272727E+01 -0.6000000E+01  0.2761397E-91
-0.1151515E+01 -0.6000000E+01  0.6023410E-91
-0.1030303E+01 -0.6000000E+01  0.1317219E-90
-0.9090909E+00 -0.6000000E+01  0.2811043E-90
-0.7878788E+00 -0.6000000E+01  0.5661225E-90
-0.6666667E+00 -0.6000000E+01  0.1064948E-89
-0.5454545E+00 -0.6000000E+01  0.1912230E-89
-0.4242424E+00 -0.6000000E+01  0.3404491E-89
-0.3030303E+00 -0.6000000E+01  0.6144663E-89
-0.1818182E+00 -0.6000000E+01  0.1107766E-88
-0.6060606E-01 -0.6000000E+01  0.1920451E-88
 0.6060606E-01 -0.6000000E+01  0.3111685E-88
 0.1818182E+00 -0.6000000E+01  0.4722944E-88
 0.3030303E+00 -0.6000000E+01  0.6929361E-88
 0.4242424E+00 -0.6000000E+01  0.1019355E-87
 0.5454545E+00 -0.6000000E+01  0.1517988E-87
 0.6666667E+00 -0.6000000E+01  0.2228336E-87
 0.7878788E+00 -0.6000000E+01  0.3104000E-87
 0.9090909E+00 -0.6000000E+01  0.4028156E-87
 0.1030303E+01 -0.6000000E+01  0.4941295E-87
 0.1151515E+01 -0.6000000E+01  0.5946243E-87
 0.1272727E+01 -0.6000000E+01  0.7232414E-87
 0.1393939E+01 -0.6000000E+01  0.8849283E-87
 0.1515152E+01 -0.6000000E+01  0.1052021E-86
 0.1636364E+01 -0.6000000E+01  0.1174940E-86
 0.1757576E+01 -0.6000000E+01  0.1224928E-86
 0.1878788E+01 -0.6000000E+01  0.1222757E-86
 0.2000000E+01 -0.6000000E+01  0.1214446E-86
 0.2121212E+01 -0.6000000E+01  0.1222757E-86
 0.2242424E+01 -0.6000000E+01  0.1224928E-86
 0.2363636E+01 -0.6000000E+01  0.1174940E-86
 0.2484848E+01 -0.6000000E+01  0.1052021E-86
 0.2606061E+01 -0.6000000E+01  0.8849283E-87
 0.2727273E+01 -0.6000000E+01  0.7232414E-87
 0.2848485E+01 -0.6000000E+01  0.5946243E-87
 0.2969697E+01 -0.6000000E+01  0.4941295E-87
 0.3090909E+01 -0.6000000E+01  0.4028156E-87
 0.3212121E+01 -0.6000000E+01  0.3104000E-87
 0.3333333E+01 -0.6000000E+01  0.2228336E-87
 0.3454545E+01 -0.6000000E+01  0.1517988E-87
 0.3575758E+01 -0.6000000E+01  0.1019355E-87
 0.3696970E+01 -0.6000000E+01  0.6929361E-88
 0.3818182E+01 -0.6000000E+01  0.4722944E-88
 0.3939394E+01 -0.6000000E+01  0.3111685E-88
 0.4060606E+01 -0.6000000E+01  0.1920451E-88
 0.4181818E+01 -0.6000000E+01  0.1107766E-88
 0.4303030E+01 -0.6000000E+01  0.6144663E-89
 0.4424242E+01 -0.6000000E+01  0.3404491E-89
 0.4545455E+01 -0.6000000E+01  0.1912230E-89
 0.4666667E+01 -0.6000000E+01  0.1064948E-89
 0.4787879E+01 -0.6000000E+01  0.5661225E-90
 0.4909091E+01 -0.6000000E+01  0.2811043E-90
 0.5030303E+01 -0.6000000E+01  0.1317219E-90
 0.5151515E+01 -0.6000000E+01  0.6023410E-91
 0.5272727E+01 -0.6000000E+01  0.2761397E-91
 0.5393939E+01 -0.6000000E+01  0.1256640E-91
 0.5515152E+01 -0.6000000E+01  0.5412708E-92
 0.5636364E+01 -0.6000000E+01  0.2079328E-92
 0.5757576E+01 -0.6000000E+01  0.6784558E-93
 0.5878788E+01 -0.6000000E+01  0.1820818E-93
 0.6000000E+01 -0.6000000E+01  0.3945098E-94
  
  
-0.6000000E+01 -0.5878788E+01  0.5440055-169
-0.5878788E+01 -0.5878788E+01  0.5744019-165
-0.5757576E+01 -0.5878788E+01  0.4794412-161
-0.5636364E+01 -0.5878788E+01  0.3163456-157
-0.5515152E+01 -0.5878788E+01  0.1650042-153
-0.5393939E+01 -0.5878788E+01  0.6803544-150
-0.5272727E+01 -0.5878788E+01  0.2217595-146
-0.5151515E+01 -0.5878788E+01  0.5713948-143
-0.5030303E+01 -0.5878788E+01  0.1163850-139
-0.4909091E+01 -0.5878788E+01  0.1873980-136
-0.4787879E+01 -0.5878788E+01  0.2385281-133
-0.4666667E+01 -0.5878788E+01  0.2400055-130
-0.4545455E+01 -0.5878788E+01  0.1909016-127
-0.4424242E+01 -0.5878788E+01  0.1200342-124
-0.4303030E+01 -0.5878788E+01  0.5966331-122
-0.4181818E+01 -0.5878788E+01  0.2344318-119
-0.4060606E+01 -0.5878788E+01  0.7281697-117
-0.3939394E+01 -0.5878788E+01  0.1787951-114
-0.3818182E+01 -0.5878788E+01  0.3470449-112
-0.3696970E+01 -0.5878788E+01  0.5325040-110
-0.3575758E+01 -0.5878788E+01  0.6459029-108
-0.3454545E+01 -0.5878788E+01  0.6193258-106
-0.3333333E+01 -0.5878788E+01  0.4694392-104
-0.3212121E+01 -0.5878788E+01  0.2812867-102
-0.3090909E+01 -0.5878788E+01  0.1332390-100
-0.2969697E+01 -0.5878788E+01  0.4989198E-99
-0.2848485E+01 -0.5878788E+01  0.1476923E-97
-0.2727273E+01 -0.5878788E+01  0.3456474E-96
-0.2606061E+01 -0.5878788E+01  0.6395829E-95
-0.2484848E+01 -0.5878788E+01  0.9358973E-94
-0.2363636E+01 -0.5878788E+01  0.1083388E-92
-0.2242424E+01 -0.5878788E+01  0.9928273E-92
-0.2121212E+01 -0.5878788E+01  0.7212826E-91
-0.2000000E+01 -0.5878788E+01  0.4165531E-90
-0.1878788E+01 -0.5878788E+01  0.1922556E-89
-0.1757576E+01 -0.5878788E+01  0.7163647E-89
-0.1636364E+01 -0.5878788E+01  0.2195511E-88
-0.1515152E+01 -0.5878788E+01  0.5715144E-88
-0.1393939E+01 -0.5878788E+01  0.1326855E-87
-0.1272727E+01 -0.5878788E+01  0.2915691E-87
-0.1151515E+01 -0.5878788E+01  0.6359969E-87
-0.1030303E+01 -0.5878788E+01  0.1390819E-86
-0.9090909E+00 -0.5878788E+01  0.2968110E-86
-0.7878788E+00 -0.5878788E+01  0.5977547E-86
-0.6666667E+00 -0.5878788E+01  0.1124452E-85
-0.5454545E+00 -0.5878788E+01  0.2019077E-85
-0.4242424E+00 -0.5878788E+01  0.3594717E-85
-0.3030303E+00 -0.5878788E+01  0.6487998E-85
-0.1818182E+00 -0.5878788E+01  0.1169662E-84
-0.6060606E-01 -0.5878788E+01  0.2027756E-84
 0.6060606E-01 -0.5878788E+01  0.3285551E-84
 0.1818182E+00 -0.5878788E+01  0.4986840E-84
 0.3030303E+00 -0.5878788E+01  0.7316541E-84
 0.4242424E+00 -0.5878788E+01  0.1076311E-83
 0.5454545E+00 -0.5878788E+01  0.1602805E-83
 0.6666667E+00 -0.5878788E+01  0.2352844E-83
 0.7878788E+00 -0.5878788E+01  0.3277437E-83
 0.9090909E+00 -0.5878788E+01  0.4253230E-83
 0.1030303E+01 -0.5878788E+01  0.5217391E-83
 0.1151515E+01 -0.5878788E+01  0.6278490E-83
 0.1272727E+01 -0.5878788E+01  0.7636526E-83
 0.1393939E+01 -0.5878788E+01  0.9343739E-83
 0.1515152E+01 -0.5878788E+01  0.1110803E-82
 0.1636364E+01 -0.5878788E+01  0.1240590E-82
 0.1757576E+01 -0.5878788E+01  0.1293371E-82
 0.1878788E+01 -0.5878788E+01  0.1291079E-82
 0.2000000E+01 -0.5878788E+01  0.1282304E-82
 0.2121212E+01 -0.5878788E+01  0.1291079E-82
 0.2242424E+01 -0.5878788E+01  0.1293371E-82
 0.2363636E+01 -0.5878788E+01  0.1240590E-82
 0.2484848E+01 -0.5878788E+01  0.1110803E-82
 0.2606061E+01 -0.5878788E+01  0.9343739E-83
 0.2727273E+01 -0.5878788E+01  0.7636526E-83
 0.2848485E+01 -0.5878788E+01  0.6278490E-83
 0.2969697E+01 -0.5878788E+01  0.5217391E-83
 0.3090909E+01 -0.5878788E+01  0.4253230E-83
 0.3212121E+01 -0.5878788E+01  0.3277437E-83
 0.3333333E+01 -0.5878788E+01  0.2352844E-83
 0.3454545E+01 -0.5878788E+01  0.1602805E-83
 0.3575758E+01 -0.5878788E+01  0.1076311E-83
 0.3696970E+01 -0.5878788E+01  0.7316541E-84
 0.3818182E+01 -0.5878788E+01  0.4986840E-84
 0.3939394E+01 -0.5878788E+01  0.3285551E-84
 0.4060606E+01 -0.5878788E+01  0.2027756E-84
 0.4181818E+01 -0.5878788E+01  0.1169662E-84
 0.4303030E+01 -0.5878788E+01  0.6487998E-85
 0.4424242E+01 -0.5878788E+01  0.3594717E-85
 0.4545455E+01 -0.5878788E+01  0.2019077E-85
 0.4666667E+01 -0.5878788E+01  0.1124452E-85
 0.4787879E+01 -0.5878788E+01  0.5977547E-86
 0.4909091E+01 -0.5878788E+01  0.2968110E-86
 0.5030303E+01 -0.5878788E+01  0.1390819E-86
 0.5151515E+01 -0.5878788E+01  0.6359969E-87
 0.5272727E+01 -0.5878788E+01  0.2915691E-87
 0.5393939E+01 -0.5878788E+01  0.1326855E-87
 0.5515152E+01 -0.5878788E+01  0.5715144E-88
 0.5636364E+01 -0.5878788E+01  0.2195511E-88
 0.5757576E+01 -0.5878788E+01  0.7163647E-89
 0.5878788E+01 -0.5878788E+01  0.1922556E-89
 0.6000000E+01 -0.5878788E+01  0.4165531E-90
  
  
-0.6000000E+01 -0.5757576E+01  0.4540700-165
-0.5878788E+01 -0.5757576E+01  0.4794412-161
-0.5757576E+01 -0.5757576E+01  0.4001795-157
-0.5636364E+01 -0.5757576E+01  0.2640470-153
-0.5515152E+01 -0.5757576E+01  0.1377256-149
-0.5393939E+01 -0.5757576E+01  0.5678776-146
-0.5272727E+01 -0.5757576E+01  0.1850980-142
-0.5151515E+01 -0.5757576E+01  0.4769312-139
-0.5030303E+01 -0.5757576E+01  0.9714415-136
-0.4909091E+01 -0.5757576E+01  0.1564172-132
-0.4787879E+01 -0.5757576E+01  0.1990944-129
-0.4666667E+01 -0.5757576E+01  0.2003275-126
-0.4545455E+01 -0.5757576E+01  0.1593416-123
-0.4424242E+01 -0.5757576E+01  0.1001900-120
-0.4303030E+01 -0.5757576E+01  0.4979971-118
-0.4181818E+01 -0.5757576E+01  0.1956753-115
-0.4060606E+01 -0.5757576E+01  0.6077880-113
-0.3939394E+01 -0.5757576E+01  0.1492365-110
-0.3818182E+01 -0.5757576E+01  0.2896711-108
-0.3696970E+01 -0.5757576E+01  0.4444699-106
-0.3575758E+01 -0.5757576E+01  0.5391215-104
-0.3454545E+01 -0.5757576E+01  0.5169382-102
-0.3333333E+01 -0.5757576E+01  0.3918311-100
-0.3212121E+01 -0.5757576E+01  0.2347841E-98
-0.3090909E+01 -0.5757576E+01  0.1112118E-96
-0.2969697E+01 -0.5757576E+01  0.4164379E-95
-0.2848485E+01 -0.5757576E+01  0.1232757E-93
-0.2727273E+01 -0.5757576E+01  0.2885046E-92
-0.2606061E+01 -0.5757576E+01  0.5338464E-91
-0.2484848E+01 -0.5757576E+01  0.7811738E-90
-0.2363636E+01 -0.5757576E+01  0.9042813E-89
-0.2242424E+01 -0.5757576E+01  0.8286921E-88
-0.2121212E+01 -0.5757576E+01  0.6020394E-87
-0.2000000E+01 -0.5757576E+01  0.3476881E-86
-0.1878788E+01 -0.5757576E+01  0.1604717E-85
-0.1757576E+01 -0.5757576E+01  0.5979345E-85
-0.1636364E+01 -0.5757576E+01  0.1832547E-84
-0.1515152E+01 -0.5757576E+01  0.4770311E-84
-0.1393939E+01 -0.5757576E+01  0.1107498E-83
-0.1272727E+01 -0.5757576E+01  0.2433666E-83
-0.1151515E+01 -0.5757576E+01  0.5308533E-83
-0.1030303E+01 -0.5757576E+01  0.1160887E-82
-0.9090909E+00 -0.5757576E+01  0.2477419E-82
-0.7878788E+00 -0.5757576E+01  0.4989333E-82
-0.6666667E+00 -0.5757576E+01  0.9385563E-82
-0.5454545E+00 -0.5757576E+01  0.1685281E-81
-0.4242424E+00 -0.5757576E+01  0.3000435E-81
-0.3030303E+00 -0.5757576E+01  0.5415395E-81
-0.1818182E+00 -0.5757576E+01  0.9762925E-81
-0.6060606E-01 -0.5757576E+01  0.1692526E-80
 0.6060606E-01 -0.5757576E+01  0.2742380E-80
 0.1818182E+00 -0.5757576E+01  0.4162411E-80
 0.3030303E+00 -0.5757576E+01  0.6106963E-80
 0.4242424E+00 -0.5757576E+01  0.8983745E-80
 0.5454545E+00 -0.5757576E+01  0.1337828E-79
 0.6666667E+00 -0.5757576E+01  0.1963870E-79
 0.7878788E+00 -0.5757576E+01  0.2735608E-79
 0.9090909E+00 -0.5757576E+01  0.3550082E-79
 0.1030303E+01 -0.5757576E+01  0.4354847E-79
 0.1151515E+01 -0.5757576E+01  0.5240524E-79
 0.1272727E+01 -0.5757576E+01  0.6374048E-79
 0.1393939E+01 -0.5757576E+01  0.7799023E-79
 0.1515152E+01 -0.5757576E+01  0.9271642E-79
 0.1636364E+01 -0.5757576E+01  0.1035494E-78
 0.1757576E+01 -0.5757576E+01  0.1079550E-78
 0.1878788E+01 -0.5757576E+01  0.1077636E-78
 0.2000000E+01 -0.5757576E+01  0.1070312E-78
 0.2121212E+01 -0.5757576E+01  0.1077636E-78
 0.2242424E+01 -0.5757576E+01  0.1079550E-78
 0.2363636E+01 -0.5757576E+01  0.1035494E-78
 0.2484848E+01 -0.5757576E+01  0.9271642E-79
 0.2606061E+01 -0.5757576E+01  0.7799023E-79
 0.2727273E+01 -0.5757576E+01  0.6374048E-79
 0.2848485E+01 -0.5757576E+01  0.5240524E-79
 0.2969697E+01 -0.5757576E+01  0.4354847E-79
 0.3090909E+01 -0.5757576E+01  0.3550082E-79
 0.3212121E+01 -0.5757576E+01  0.2735608E-79
 0.3333333E+01 -0.5757576E+01  0.1963870E-79
 0.3454545E+01 -0.5757576E+01  0.1337828E-79
 0.3575758E+01 -0.5757576E+01  0.8983745E-80
 0.3696970E+01 -0.5757576E+01  0.6106963E-80
 0.3818182E+01 -0.5757576E+01  0.4162411E-80
 0.3939394E+01 -0.5757576E+01  0.2742380E-80
 0.4060606E+01 -0.5757576E+01  0.1692526E-80
 0.4181818E+01 -0.5757576E+01  0.9762925E-81
 0.4303030E+01 -0.5757576E+01  0.5415395E-81
 0.4424242E+01 -0.5757576E+01  0.3000435E-81
 0.4545455E+01 -0.5757576E+01  0.1685281E-81
 0.4666667E+01 -0.5757576E+01  0.9385563E-82
 0.4787879E+01 -0.5757576E+01  0.4989333E-82
 0.4909091E+01 -0.5757576E+01  0.2477419E-82
 0.5030303E+01 -0.5757576E+01  0.1160887E-82
 0.5151515E+01 -0.5757576E+01  0.5308533E-83
 0.5272727E+01 -0.5757576E+01  0.2433666E-83
 0.5393939E+01 -0.5757576E+01  0.1107498E-83
 0.5515152E+01 -0.5757576E+01  0.4770311E-84
 0.5636364E+01 -0.5757576E+01  0.1832547E-84
 0.5757576E+01 -0.5757576E+01  0.5979345E-85
 0.5878788E+01 -0.5757576E+01  0.1604717E-85
 0.6000000E+01 -0.5757576E+01  0.3476881E-86
  
  
-0.6000000E+01 -0.5636364E+01  0.2996051-161
-0.5878788E+01 -0.5636364E+01  0.3163456-157
-0.5757576E+01 -0.5636364E+01  0.2640470-153
-0.5636364E+01 -0.5636364E+01  0.1742239-149
-0.5515152E+01 -0.5636364E+01  0.9087427-146
-0.5393939E+01 -0.5636364E+01  0.3746978-142
-0.5272727E+01 -0.5636364E+01  0.1221316-138
-0.5151515E+01 -0.5636364E+01  0.3146894-135
-0.5030303E+01 -0.5636364E+01  0.6409779-132
-0.4909091E+01 -0.5636364E+01  0.1032074-128
